Component Name,Quantity,Unit Price,Date,Vendor/Notes
LM 334 Z (current source),50,20/-,2023-02-18,Navrang Electronics
IC-CD4051BE (8:1 mux),50,18/-,2023-02-18,Navrang Electronics
CD-4017BE (Counter),50,20/-,2023-02-18,Navrang Electronics
LM 358 (single supply op-amp),50,8/-,2023-02-18,Navrang Electronics
CD40106 (Schmitt trigger),50,20/-,2023-02-18,Navrang Electronics
TIP122 (Darlington Pair),20,25/-,2023-02-18,Navrang Electronics
LM 234 Z,50,20/-,2023-05-29,Navrang Electronics
GY-9833 AD9833 DDS Signal Generator,10,305/-,2023-10-05,Robu.in
Teensy 4.0 Dev Board,10,1763/-,2023-10-05,Robu.in
ESP-WROOM 32 Wifi Bluetooth Dev Board,20,346.61/-,2023-10-05,Robu.in
ESP32 WROOM 32D BLE Dev Board,10,427.96/-,2023-10-05,Robu.in
VEMD8081 840nm PIN Photodiode,20,127.57/-,2023-10-23,Element 14
ADG408BNZ MUX,15,650/-,2023-10-23,Element 14
MAX4659EUA+ SPDT,20,445/-,2023-10-23,Element 14
MAX4594ELT+T SPST,30,145/-,2023-10-23,Element 14
