Order Date,Order Number,Product Name,Quantity
"December 23, 2025",3213568,"560PCS XH2.54mm Terminal Block Kit JST-XH DuPont Terminal Plastic Housing Connector 2P,3P,4P,5P Set",1
"December 23, 2025",3213568,Raspberry Pi Black 4 in 1 Heat Sink Set Aluminum for Pi 4B,2
"December 23, 2025",3213568,Official USB type-C 15.3W Power Supply For Raspberry Pi 4,1
"December 23, 2025",3213568,B-30-1000 30AWG PVC Wire Wrap 230m Black Durable Insulated Wire,1
"December 23, 2025",3213568,230m 30AWG PVC Wire Wrapping Wire (Red) Electronics Prototyping,1
"December 23, 2025",3213568,"IRLR7843TRPBF-HXY MOSFET-30V 120A 62.5W 3mΩ@10V,20A 1.7V 1 N-Channel TO252-2L MOSFETs ROHS",20
"December 23, 2025",3213568,"GRM035R60J475ME15D-MURATA-SMD Multilayer Ceramic Capacitor, 4.7 µF, 6.3 V, 0201 [0603 Metric], ± 20%, X5R, GRM Series",100
"December 23, 2025",3213568,PC817 SMD Transistor Output Optocoupler,100
"December 23, 2025",3213568,"IRLML6344TRPBF-INFINEON TECHNOLOGIES-IRLML6344TRPBF-Power MOSFET, N Channel, 30 V, 5 A, 0.022 ohm, SOT-23, Surface Mount",10
"December 23, 2025",3213568,AC0201FR-0722RL-YAGEO-Res Thick Film 0201 22 Ohm 1% 0.05W(1/20W) ±200ppm/°C Pad SMD T/R Automotive AEC-Q200,100
"December 23, 2025",3213568,SSR-40DA Solid State Relay Module 3-32VDC/24-380VAC 40A,1
"December 23, 2025",3213568,ATmega328P-U PDIP-28 Microcontroller,2
"December 23, 2025",3213568,"AZ1084CD-5.0TRG1-Diodes Incorporated-72dB@(120Hz) 5A Fixed 5V Positive 12V TO-252 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",2
"December 23, 2025",3213568,TowerPro MG958 Digital High Torque Metal Gear Servo Motor,2
"December 23, 2025",3213568,2.54mm Pitch 40 Pin JTAG ISP AVR Cable,2
